title,song
爱的飞行日记,(伦)赤道的边境 万里无云 天很清，爱你的事情 说了千遍 有回音，岸边的丘陵 崎岖不平 浪入侵，我却很专心 分辨得出 你的声音，(Gary)用南极的冰 将爱结晶 我用心，永不融化的是 爱你的这个决定，(合)透明 坚硬，，Chorus:，(Gary)升空对抗 重力反应，逐渐渺小的风景 景景景景 景色分明，我加速引擎 抛开远方的黎明，(合)剩速度回应 向银河逼近，我对着流星 祈祷时专心，，(合)为爱飞行 脱离地心引力的热情，找一颗星 只为了你命名 我用光年传递爱情，为爱飞行 脱离地心引力的热情，我在宇宙 无重力的环境 为你降临，，(伦)赤道的边境 万里无云 天很清，爱你的事情 说了千遍 有回音，岸边的丘陵 崎岖不平 浪入侵，我却很专心 分辨得出 你的声音，(Gary)用南极的冰 将爱结晶 我用心，永不融化的是 爱你的这个决定，(合)透明 (透明) 坚硬 (坚硬)，，(Repeat Chorus)，，，制作人：周杰伦，吉他：蔡科俊Again，录音师：杨瑞代Gary，录音室：JVR Studio，混音工程：杨大纬录音工作室，，OP: JVR Music Int'l Ltd.，SP: Sony/ATV Music Publishing，ISRC TW-K97-10-016-09
不该,Jay：，假装我们还在一块，我真的演不出来，还是不习惯你不在，这身份转变太快，，AMEI：，画面里不需要旁白，却谁都看的出来，是我情绪涌了上来，想哭却一遍空白，，Jay：，雪地里相爱，他们说零下已结晶的誓言不会坏，，合：，但爱的状态，却不会永远都冰封，而透明的存在，，合：，轻轻飘 落下来，许下的梦 融化的太快，或许我们都不该醒来，，AMEI：，你还是住在我的回忆里不出来，，Jay：，让我们微笑离开让故事留下来，，合：，放手后爱依然在，雪融了就应该花开，缘若尽了，就不该再重来，，AMEI：，你依旧住在我的回忆里不出来，，Jay：，我离开将你的手交给下个最爱，，AMEI：，纠缠与，，合：，Oh 固执等待，反而是另一种伤害，彼此紧握的手松开，去拥抱更多未来，，Jay：，错过的时间怎么买，谁都付不出来，，AMEI：，或许我们学会释怀，让过去安静下来，，合：，雪地里相爱，他们说零下已结晶的誓言不会坏，但爱的状态，却不会永远都冰封，而透明的存在，，合：，轻轻飘 落下来，许下的梦融化的太快，或许我们都不该醒来，，AMEI：，你还是住在我的回忆里不出来，，Jay：，让我们微笑离开让故事留下来，，合：，放手后爱依然在，雪融了就应该花开，缘若尽了，就不该再重来，，AMEI：，你依旧住在我的回忆里不出来，，Jay：，我离开将你的手交给下个，，合：，最爱，，AMEI：，纠缠与，，合：，Oh固执等待，反而是另一种伤害，彼此紧握的手松开，去拥抱更多未来
开不了口 (Live),才离开没多久就开始　担心今天的你过得好不好，整个画面是你　想你想的睡不着，，嘴嘟嘟那可爱的模样　还有在你身上香香的味道，我的快乐是你　想你想的都会笑，，没有你在我有多难熬(没有你在我有多难熬多烦恼)，没有你烦我有多烦恼(没有你烦我有多烦恼多难熬)，，穿过云层　我试着努力向你奔跑，爱才送到　你却已在别人怀抱，，就是开不了口　让她知道，我一定会呵护着你　也逗你笑，你对我有多重要　我后悔没　让你知道，安静的听你撒娇　看你睡着　一直到老，，就是开不了口　让她知道，就是那么简单几句　我办不到，整颗心悬在半空　我只能够　远远看着，这些我都做得到　但那个人已经不是我，，没有你在我有多难熬(没有你在我有多难熬多烦恼)，没有你烦我有多烦恼(没有你烦我有多烦恼多难熬)，，穿过云层　我试着努力向你奔跑，爱才送到　你却已在别人怀抱，，就是开不了口　让她知道，我一定会呵护着你　也逗你笑，你对我有多重要　我后悔没　让你知道，安静的听你撒娇　看你睡着　一直到老，，就是开不了口　让她知道，就是那么简单几句　我办不到，整颗心悬在半空　我只能够　远远看着，这些我都做得到　但那个人已经不是我，我就是开不了口 我就是开不了口，我只能够远远的看着你 开不了口
脚踏车,
退后 (Live),天空灰的像哭过  离开你以後 并没有 更自由，，酸酸的空气 嗅出我们的距离，，一幕锥心的结局 像呼吸般无法呼吸，，，，抽屉泛黄的日记 榨乾了回忆  那笑容 是夏季，，你我的过去 被顺时针的忘记，，缺氧过後的爱情 粗心的眼泪是多余，，，，我知道你我都没有错 只是忘了怎麽退後，，信誓旦旦给了承诺 却被时间扑了空，，，，我知道我们都没有错 只是放手会比较好过，，最美的爱情 回忆里待续，，，天空灰的像哭过  离开你以後 并没有 更自由，，酸酸的空气 嗅出我们的距离，，一幕锥心的结局 像呼吸般无法呼吸，，，，抽屉泛黄的结局 榨乾了回忆  那笑容 是夏季，，你我的过去 被顺时针的忘记，，缺氧过後的爱情 粗心的眼泪是多余，，，，我知道你我都没有错 只是忘了怎麽退後，，信誓旦旦走了又错 却被时间扑了空，，，，我知道我们都没有错 只是放手会比较好过，，最美的爱情 在回忆里待续，，，却被时间扑了空，，我知道我们都没有错 只是放手会比较好过，，最美的爱情 回忆里待续
琴房,
阳光宅男 (Live),钥匙挂腰带 皮夹插后面口袋 黑框的眼镜有几千度来海边穿西装裤，他不在乎 我却想哭 有点无助 他的样子像刚出土的文物，，他烤肉竟然会 自带水壶 写信时用浆糊 走起路一不注意就撞树，我不想输 就算辛苦 我也要等 我也不能让你再走寻常路，，我决定插手你的人生 当你的时尚顾问 别说你不能 喔喔 一起来，，让我们乘着阳光 海上冲浪 吸引她目光，不要怕露出胸膛 流一点汗 你成了型男，让我们乘着阳光 看着远方 别当路人甲，靠在你肩膀 我陪在身旁 我微笑在你旁边撑伞，，喔对了对女生 别太冷 约会要等 讲笑话不能闷 别太冷 像我一样就刚好，对爱的人 接吻要深 拥抱要真 来电显示给个甜蜜的昵称，，穿着要个性 这只是刚刚入门 接下来你还要弹琴会写歌会双截棍，头脑清楚 不能迷糊 我要将你彻底改造基因重组大变身，，我决定插手你的人生 当你的时尚顾问 别说你不能，，让我们乘着阳光 海上冲浪 吸引她目光，不要怕露出胸膛 流一点汗 你成了型男，让我们乘着阳光 看着远方 别当路人甲，让美女缺氧 靠在你肩膀 我微笑在你旁边撑伞，，让我们乘着阳光 海上冲浪 吸引她目光，不要怕露出胸膛 流一点汗 你成了型男，让我们乘着阳光 看着远方 别当路人甲，让美女缺氧 靠在你肩膀 我微笑在你旁边撑伞
周杰伦,
威廉古堡 (Live),藤蔓植物　爬满了伯爵的坟墓，古堡里一片荒芜　长满杂草的泥土，不会骑扫把的胖女巫　用拉丁文念咒语啦啦呜，她养的黑猫笑起来像哭　啦啦啦呜　用水晶球替人占卜，，她说下午三点阳光射进教堂的角度，能知道你前世是狼人还是蝙蝠，古堡主人威廉二世满脸的落腮胡，习惯　在吸完血后开始打呼，，管家是一只会说法语举止优雅的猪，吸血前会念约翰福音做为弥补，拥有一双蓝色眼睛的凯萨琳公主，专吃　有ＡＢ血型的公老鼠，，RAP: 你说你说　分数怎么停留，一直在停留　谁让它停留的，为什么　我女朋友场外加油，你却还让我出糗
雨下一整晚 (Live),街灯下的橱窗 有一种落寞的温暖，吐气在玻璃上 画着你的模样，，开着车漫无目的的转弯，不知要去那个地方，闹区的电视墙 到底有谁在看，，白杨木 影子被拉长，像我对你的思念走不完，原来我从未习惯你已不在我 身旁，，街道的 铁门被拉上，只剩转角霓虹灯还在闪，这城市 的小巷 雨下一整晚，，你撑把小纸伞 叹姻缘太婉转，雨落下雾茫茫 问天涯在何方，午夜笛笛声残 偷偷透透过窗，烛台前我嘛还在想，小舢舨 划啊划 小纸伞 遮雨也遮月光，，白杨木 影子被拉长，像我对你的思念走不完，原来我从未习惯你已不在我 身旁，，街道的 铁门被拉上，只剩转角霓虹灯还在闪，这城市 的小巷 雨下一整晚
借口 (Live),翻着我们的照片，想念若隐若现，去年的冬天，我们笑得很甜，，看着你哭泣的脸，对着我说再见，来不及听见，你已走得很远，，也许你已经放弃我，也许已经很难回头，我知道是自己错过，请再给我一个理由，，说你不爱我，就算是我不懂，能不能原谅我，请不要把分手当作你的请求，我知道坚持要走是你受伤的借口，请你回头，我会陪你一直走到最后，，就算没有结果，我也能够承受，我知道你的痛，是我给的承诺，你说给过我纵容，沉默是因为包容，如果要走请你记得我，，翻着我们的照片，想念若隐若现，去年的冬天，我们笑得很甜，看着你哭泣的脸，对着我说再见，，来不及听见，你已走得很远，也许你已经放弃我，也许已经很难回头，我知道是自己错过，，请再给我一个理由，说你不爱我，就算是我不懂，能不能原谅我，请不要把分手当作你的请求，，我知道坚持要走是你受伤的借口，请你回头，我会陪你一直走到最后，就算没有结果，我也能够承受，，我知道你的痛，是我给的承诺，你说给过我纵容，沉默是因为包容，如果要走，请你记得我，......，如果难过，请你忘了我
断了的弦 (Live),斷了的弦，作詞：方文山　作曲：周杰倫，弦～哦～斷了的弦～，我沉默　妳的話也不多，我們之間少了什麼　不說　哎呦，我沉默　你的笑嘻比我更多，問妳確定了再走，我突然釋懷的笑　笑聲盤旋半山腰，隨風在飄搖啊搖　來到妳的面前繞，妳淚水往下的掉　說會記住我的好，妳的雙眼望盡了所有　耶～，妳的美已經給了誰　我追了又追要不回，我了解離開樹的葉　像地上的也會被凋謝，斷了的弦　再彈一遍　我的世界　妳不在裡面，我的指尖　已經彈出繭　還是無法留妳在我身邊，斷了的弦　再怎麼練　我的感覺　妳已看不見，我們之間　像斷掉的弦　再怎麼接　音都不對，妳的轉變　我能夠分辨，我沉默　妳的話也不多，我們之間少了什麼　不說　哎呦，微笑後　表情終於有點難過，問妳確定了再走，我突然釋懷的笑　笑聲盤旋半山腰，隨著隨風飄啊飄　來到妳的面前繞，妳眼淚往下的掉　說會記住我的好，我也彎起了嘴角　笑　哦哦～，妳的美已經給了誰　我追了又追要不回，我了解離開樹的葉　屬於地上的世界凋謝，斷了的弦　再怎麼練　我的世界　妳不在裡面，我的指尖　像斷掉的弦　就是無法留妳在我身邊，斷了的弦　再怎麼練　我的世界　妳已聽不見，我的指尖　像斷掉的弦　再怎麼接　音都不對，妳的世界　我怎麼分辨，謝謝今天來參加我的演唱會　謝謝你們啦，希望兩年後我們可以在這邊見面  好不好，by JellyLeung(c)http://db-db.com/loves/jellyleung/
Ending,(配乐，无歌词)，，ISRC TW-A47-07-130-25，OP: JVR Music Int'l Ltd.
父与子,"(配乐，无歌词)，，ISRC TW-A47-07-130-09，OP: JVR Music Int'l Ltd. / Cine Digital Sound Studio Co., Ltd."
你听得到 (Live),周杰伦，HandsomeCK制作，，有谁能比我知道，你的温柔像羽毛，秘密躺在我怀抱，只有你能听得到，还有没有人知道，你的微笑像拥抱，多想藏着你的好，只有我看得到，站在屋顶只对风说不想被左右，本来讨厌下雨的天空，直到听见有人说爱我，坐在电影院的二楼看人群走过，怎么那一天的我们，都默默地微笑很久，，我想我是太过依赖，在挂电话的刚才，坚持学单纯的小孩，静静看守这份爱，知道不能太依赖，怕你会把我宠坏，你的香味一直徘徊，我舍不得离开，，比我知道，你的温柔像羽毛，秘密躺在我怀抱，@·#￥%……*&$，还有没有人知道，你的微笑像拥抱，多想藏着你的好，只有我看得到，坐在电影院的二楼看人群走过，怎么那一天的我们，都默默地微笑很久，，我想我是太过依赖，在挂电话的刚才，坚持学单纯的小孩，静静看守这份爱，知道不能太依赖，怕你会把我宠坏，你的香味一直徘徊，我舍不得离开，我想我是太过依赖，在挂电话的刚才，坚持学单纯的小孩，我舍不得离开
暗号 (Live),词：许世昌　 曲：周杰伦 　编曲：林迈可，，，我想要的 想做的 你比谁都了，你想说的 想给的 我全都知道，未接来电 没留言 一定是你孤单的想念，任何人都 猜不到 这是我们的暗号，他们猜 随便猜 不重要，连上彼此的讯号 才有个依靠，有太多人太多事 夹在我们之间咆哮，杂讯太多讯号弱 就连风吹都要干扰，可是你不想一直走在黑暗地下道，想吹风 想自由 想要一起手牵手，去看海 绕世界流浪，我害怕你心碎没人帮你擦眼泪，别管那是非 只要我们感觉对，我害怕你心碎没人帮你擦眼泪，别离开身边 拥有你我的世界才能完美，你说你想逃开松手 爱太累爱得不自由，因为我给不起最简单的承诺，你停止收讯号 我开始搜寻不到，到底有谁知道 是几点钟方向 你才会收到暗号
双刀,透过镜头重新剪接历史给人的想像　八厘米纪录片的桥段隔着距离欣赏，，正邪对立的两方　我握紧拳头开始习惯　以牙还牙的手段，，，风　盘旋烟雾弥漫　我虔诚点的香　在祈祷着平安，，，＊从天台向下俯看暴力在原地打转　上一代解决的答案是微笑不抵抗，，被雨淋湿的唐装那股叹息很东方　我看不惯尊严受伤家族如此不堪，，，风　缓缓绕过武馆　正上方的月亮　那颜色中国黄，，，透过透过镜头重新剪接历史给人想像　八厘米纪录片的桥段在播放　隔着距离欣赏，，正邪对立的两方　我握紧拳头开始习惯　那以牙还牙的的手段　恐惧来自退让，，，Repeat ＊.＊.＊，，，＃Rap:双刀的正前方　我杀气不转弯　背对我的力量　它自己却受伤，，双刀的右下方　我挥刀去了断　将恩怨全看穿　丹凤眼的目光，，，Repeat ＃
她的睫毛 (Live),作词：方文山　作曲：周杰伦，周杰伦，HandsomeCK制作，，亲爱的总些事没办法教，表错情的感觉有一点糟，赖着不走会让人很感冒，以上这道理我全都了，我将不该犯的错都默背好，仔细观察她的喜好，而我紧绷的外表像上紧后的发条，她的睫毛弯的嘴角，无预警地对我笑，没有预兆出乎预料，竟然先对我示好，她的睫毛弯的嘴角，用眼神对我拍照，我戒不掉她的微笑，洋溢幸福的味道，，有些事没办法教，表错情的感觉有一点糟，赖着不走会让人很感冒，以上这道理我全都了，恋爱的方式无法拿笔来抄，也没有规则可以取巧，被动的缘分很不可靠，她粉嫩清秀的外表，像是多汁的水蜜桃谁都想咬，她嘴上亮丽的唇膏，有一股自信的骄傲我看得到
